location,method,Trait,gen.var,error.var,phen.var,h2std,H2.Estimate,H2.SE,H2Cullis,Reptability
UCD22010,Block+Spatial,Grain_Yield,686372.173,93807.947,702006.831,0.978,0.740718378,0.102482867,0.965262749,0.930525497
UCD22210,Block,Test_weight,2.052,0.124,2.073,0.99,0.943114377,0.017143203,0.975171387,0.950342775
UCD22210,Block+Spatial,Test_weight,2.036,0.098,2.053,0.992,0.947125007,0.038208682,0.975414105,0.950828209
UCD22210,Block,Plant_height,9.332,5.452,10.241,0.911,0.631200439,0.080967239,0.936596102,0.873192203
UCD22210,Block+Spatial,Plant_height,9.363,4.531,10.118,0.925,0.675330291,0.186644101,0.937977753,0.875955506
UCD22210,Block,Grain_Yield,605350.981,428427.004,676755.482,0.894,0.585571554,0.085954386,0.928476456,0.856952911
UCD22210,Block+Spatial,Grain_Yield,629772.282,248895.466,671254.859,0.938,0.436890281,0.12316506,0.938082045,0.876164089
UCD22TS-GH20Su-Q,Block,Test_weight,5.021,0.052,5.073,0.99,0.989709874,0.003566683,0.99167406,0.983348121
UCD22TS-GH20Su-Q,Block+Spatial,Test_weight,4.851,0,4.851,1,0.943686562,0.031159823,0.993135953,0.986271907
UCD22TS-GH20Su-Q,Block,Plant_height,35.039,6.443,41.482,0.845,0.844684839,0.048761484,0.920973677,0.841947353
UCD22TS-GH20Su-Q,Block+Spatial,Plant_height,35.032,6.334,41.366,0.847,0.98617488,0.176486978,0.92093035,0.841860701
UCD22TS-GH20Su-Q,Block,Grain_Yield,811416.078,708656.18,1520072.258,0.534,0.533800991,0.145817241,0.762652369,0.525304738
UCD22TS-GH20Su-Q,Block+Spatial,Grain_Yield,768473.416,553507.407,1321980.823,0.581,0.426909892,0.14868297,0.760262477,0.520524954
UniformScab_2022_WARVA,Block,Test_weight,655.912,93.089,702.457,0.934,0.875715294,0.057378949,0.935170681,0.870341362
UniformScab_2022_WARVA,Block+Spatial,Test_weight,638.187,22.055,649.215,0.983,0.619495473,0.166729347,0.937493189,0.874986379
UniformScab_2022_WARVA,Block,Plant_height,25.833,8.937,30.302,0.853,0.742956912,0.121726061,0.86303968,0.726079359
UniformScab_2022_WARVA,Block+Spatial,Plant_height,25.39,8.271,29.525,0.86,0.820673689,0.39409396,0.857725742,0.715451484
UniformScab_2022_WARVA,Block,Grain_Yield,630889.428,80217.442,670998.149,0.94,0.887193549,0.053935599,0.934646269,0.869292538
UniformScab_2022_WARVA,Block+Spatial,Grain_Yield,625597.771,6821.945,629008.744,0.995,0.614278855,0.154582576,0.9422139,0.884427799
YR2-1_2021_Wooster,Block,Test_weight,0,511.526,511.526,0,0,0.307468637,NA,NA
YR2-1_2021_Wooster,Block+Spatial,Test_weight,0,511.523,511.523,0,NA,NA,NA,NA
YR2-1_2021_Wooster,Block,Plant_height,86.623,10.986,97.609,0.887,0.88745195,0.061709431,0.938022415,0.87604483
YR2-1_2021_Wooster,Block+Spatial,Plant_height,87.816,3.414,91.23,0.963,0.749438812,0.160903227,0.951704847,0.903409695
YR2-1_2021_Wooster,Block,Grain_Yield,146697.765,261429.441,408127.205,0.359,0.359441279,0.314518743,0.680877461,0.361754923
YR2-1_2021_Wooster,Block+Spatial,Grain_Yield,149333.502,239598.544,388932.046,0.384,0.622144262,0.417991788,0.685124634,0.370249267
YR2-2_2021_Wooster,Block,Test_weight,0,707.437,707.437,0,0,0.305107525,NA,NA
YR2-2_2021_Wooster,Block+Spatial,Test_weight,0,703.445,703.445,0,0,12.16364714,NA,NA
YR2-2_2021_Wooster,Block,Plant_height,71.914,22.597,94.511,0.761,0.760903942,0.125670343,0.876827314,0.753654628
YR2-2_2021_Wooster,Block+Spatial,Plant_height,73.906,17.172,91.078,0.811,0.797639456,0.243189787,0.887239224,0.774478448
YR2-2_2021_Wooster,Block,Grain_Yield,251463.311,143178.203,394641.514,0.637,0.637194269,0.184944197,0.816601167,0.633202334
YR2-2_2021_Wooster,Block+Spatial,Grain_Yield,220909.55,141959.105,362868.655,0.609,0.624012768,0.262184917,0.785360561,0.570721121
Adv_Neo_21,Block,Test_weight,150.754,167.13,184.18,0.819,0.474242614,0.059677116,0.816897349,0.633794698
Adv_Neo_21,Block+Spatial,Test_weight,150.959,86.195,168.198,0.898,0.213053997,0.046671522,0.853469417,0.706938833
Adv_Neo_21,Block,Plant_height,19.967,11.124,22.191,0.9,0.642205618,0.045132857,0.886556523,0.773113045
Adv_Neo_21,Block+Spatial,Plant_height,19.776,7.097,21.195,0.933,0.489337131,0.084899668,0.903240119,0.806480239
Adv_Neo_21,Block,Grain_Yield,47741.089,329310.518,113603.193,0.42,0.126616856,0.075734903,0.610255579,0.220511158
Adv_Neo_21,Block+Spatial,Grain_Yield,62994.702,245933.426,112181.388,0.562,0.160033438,0.075225319,0.652108284,0.304216568
Adv_Urb_21,Block,Test_weight,93.457,1541.277,401.712,0.233,0.057169536,0.076182606,0.553325652,0.106651304
Adv_Urb_21,Block+Spatial,Test_weight,95.807,1475.66,390.939,0.245,0.228043175,0.281982953,0.55514361,0.110287219
Adv_Urb_21,Block,Plant_height,16.525,6.517,17.829,0.927,0.717174577,0.037261911,0.913422909,0.826845818
Adv_Urb_21,Block+Spatial,Plant_height,16.576,5.744,17.725,0.935,0.784479477,0.104563857,0.916394143,0.832788286
Adv_Urb_21,Block,Grain_Yield,97790.885,158023.811,129395.647,0.756,0.38227235,0.065444621,0.773045855,0.54609171
Adv_Urb_21,Block+Spatial,Grain_Yield,97954.609,131376.229,124229.855,0.788,0.439502769,0.125760101,0.78426016,0.568520321
AYTRed_2021_Mason,Block,Test_weight,486.06,259.087,615.604,0.79,0.652300597,0.055181936,0.889212011,0.778424022
AYTRed_2021_Mason,Block+Spatial,Test_weight,499.992,220.574,610.279,0.819,0.749618151,0.160403617,0.895527178,0.791054356
AYTRed_2021_Mason,Block,Plant_height,37.368,12.243,43.49,0.859,0.753222454,0.041718405,0.923433624,0.846867247
AYTRed_2021_Mason,Block+Spatial,Plant_height,36.438,3.323,38.099,0.956,0.456049356,0.070006011,0.956485167,0.912970335
AYTRed_2021_Mason,Block,Grain_Yield,226887.035,54555.609,254164.84,0.893,0.806157277,0.033751716,0.940294737,0.880589474
AYTRed_2021_Mason,Block+Spatial,Grain_Yield,1.00261E+12,0.006,1.00261E+12,1,0.667455493,1.0357427800693e-33,0.99553895,0.9910779
AYTWhite_2021_Mason,Block,Test_weight,233.9,312.757,390.278,0.599,0.42787322,0.109773096,0.788886472,0.577772944
AYTWhite_2021_Mason,Block+Spatial,Test_weight,236.747,303.715,388.605,0.609,0.868606657,0.689519204,0.790996893,0.581993787
AYTWhite_2021_Mason,Block,Plant_height,32.277,11.521,38.037,0.849,0.736950554,0.06138572,0.912451453,0.824902906
AYTWhite_2021_Mason,Block+Spatial,Plant_height,32.179,3.212,33.785,0.952,0.433364464,0.095633731,0.938892126,0.877784252
